algoritmo;probabilidade_erro;size_of_array;largest_sorted_subarray;k_unordered_sequence;percentual_k_unordered;percentual_maior_array
merge;0.01;10000;90;962;9.62;0.90
merge;0.01;10000;66;974;9.74;0.66
merge;0.01;10000;66;974;9.74;0.66
merge;0.01;10000;67;1045;10.45;0.67
merge;0.01;10000;90;962;9.62;0.90
merge;0.01;10000;53;996;9.96;0.53
merge;0.01;10000;64;1068;10.68;0.64
merge;0.01;10000;64;1068;10.68;0.64
merge;0.01;10000;103;955;9.55;1.03
merge;0.01;10000;71;1000;10.00;0.71
merge;0.01;10000;103;955;9.55;1.03
merge;0.01;10000;71;1000;10.00;0.71
merge;0.01;10000;71;1000;10.00;0.71
merge;0.01;10000;85;987;9.87;0.85
merge;0.01;10000;61;992;9.92;0.61
merge;0.01;10000;83;1003;10.03;0.83
merge;0.01;10000;70;1001;10.01;0.70
merge;0.01;10000;70;1001;10.01;0.70
merge;0.01;10000;65;983;9.83;0.65
merge;0.01;10000;73;1022;10.22;0.73
merge;0.01;10000;65;983;9.83;0.65
merge;0.01;10000;82;955;9.55;0.82
merge;0.01;10000;82;955;9.55;0.82
merge;0.01;10000;61;992;9.92;0.61
merge;0.01;10000;77;970;9.70;0.77
merge;0.01;10000;77;970;9.70;0.77
merge;0.01;10000;61;992;9.92;0.61
merge;0.01;10000;85;1000;10.00;0.85
merge;0.01;10000;53;996;9.96;0.53
merge;0.01;10000;53;996;9.96;0.53
merge;0.01;10000;85;1000;10.00;0.85
merge;0.01;10000;77;970;9.70;0.77
merge;0.01;10000;61;992;9.92;0.61
merge;0.01;10000;61;992;9.92;0.61
merge;0.01;10000;77;970;9.70;0.77
merge;0.01;10000;82;955;9.55;0.82
merge;0.01;10000;82;955;9.55;0.82
merge;0.01;10000;65;983;9.83;0.65
merge;0.01;10000;73;1022;10.22;0.73
merge;0.01;10000;65;983;9.83;0.65
merge;0.01;10000;70;1001;10.01;0.70
merge;0.01;10000;70;1001;10.01;0.70
merge;0.01;10000;83;1003;10.03;0.83
merge;0.01;10000;85;987;9.87;0.85
merge;0.01;10000;61;992;9.92;0.61
merge;0.01;10000;71;1000;10.00;0.71
merge;0.01;10000;71;1000;10.00;0.71
merge;0.01;10000;103;955;9.55;1.03
merge;0.01;10000;71;1000;10.00;0.71
merge;0.01;10000;64;1068;10.68;0.64
merge;0.01;10000;103;955;9.55;1.03
merge;0.01;10000;53;996;9.96;0.53
merge;0.01;10000;64;1068;10.68;0.64
merge;0.01;10000;90;962;9.62;0.90
merge;0.01;10000;66;974;9.74;0.66
merge;0.01;10000;67;1045;10.45;0.67
